CmpdID,neuSmi,y_true,y_pre
4609,COc1ccc2nc(NC3=NC[C@@]4(CN5CCC4CC5)O3)sc2c1,5.89,5.274924278
8958,CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,4,4.013337135
10337,CCCCC(C=O)CC,4,3.995917559
8103,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4,4.342819691
7057,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,5.554672779,4.69127512
10621,CCCCCCCCCI,4,4.028618336
2128,CCC[C@@H](CCO)Nc1nc(N)nc2cccc(C)c12,5.26,5.061068058
7101,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,5.354672779,5.362867832
5206,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,4.48,5.020861149
8615,C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,4,3.988314867
1232,O=C(c1ccccn1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(F)cc1)C2,6.01,5.357771873
12898,O=C(O)[C@H](O)c1ccccc1,4,3.98874712
12303,COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,4,4.051100731
5599,COc1ccc2ncc(F)c(CC(N)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.203333333,5.215241432
9987,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,4,4.059698582
7582,CCCCCCC(C)Nc1ccc(Nc2ccccc2)cc1,4.460103451,4.671327591
7674,CCOC(=O)C1=NN(c2ccc(Cl)cc2Cl)C(C)(C(=O)OCC)C1,4.335103451,4.166971684
10571,CCCCCCCCCCCCCCCCCBr,4,4.124238968
9207,C=CC(C)(CCC=C(C)C)OC=O,4,4.012302399
1026,O=C1N(CCN2Cc3ccccc3C2)CCN1c1cccc(OC(F)(F)F)c1,6.2,5.83025074
9352,C=COCC(C)C,4,3.995500565
13551,OCc1ccco1,4,3.995967627
4964,COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,5.03,5.417009354
9534,CC[C@H](N)c1ccccc1,4,3.999087811
3147,CCN(CC)c1ccc(NC(=O)C2(N(C)C(=O)OCC(C)C)CCc3cccc(OC)c3C2)cc1,5.21,5.083348751
7867,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,4.310103451,4.084010601
9599,CC12CCC(C(=O)C1=O)C2(C)C,4,3.992572069
3697,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(-c7cc(C)nn7C)oc6cc5CC4)n3C)cccc2n1,6.3,5.777089596
8080,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,4,3.976532698
11057,CCOC(=O)OCC,4,3.993159056
11363,COC(=O)c1ccccc1C(=O)c1ccc(OCCN2CCCCC2)cc1,4,4.988223553
9799,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,4,4.080087662
1509,O=c1cnc2ccc(F)c3c2n1C[C@H]3CN1CCC(NCc2cc3c(nn2)OCCO3)CC1,4.38,4.669934273
12454,O=C(NS(=O)(=O)/C=C/c1cccs1)c1ccc(F)cc1Br,4,4.172544956
1457,Fc1ccc(CN(C2CCOCC2)[C@H]2CCNC2)c(F)c1F,5.92,5.049380302
2970,Brc1cccc2nc(C#Cc3ccccn3)ccc12,4.64,4.375136852
4187,NC1(C(=O)NC(c2ccc(Cl)cc2)C2CC2)CCN(c2ncnc3[nH]ccc23)CC1,5.58,5.417811394
13761,CCCCCCCCCCCCCCCCC=CC1CC(=O)OC1=O,4,4.127754211
7422,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,4.693436785,4.077724934
211,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)cc4)nc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,4.34,5.032709122
8863,CC(=O)c1ccc2ccc3ccccc3c2c1,4,4.075285435
13332,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,4,4.116669178
1042,O=C(NCc1ccc(Cl)cc1)c1cn2c(CCO)cc3cc(CN4CCOCC4)cc(c1=O)c32,5.68,5.343308449
9598,CC12CCC(CC1=O)C2(C)C,4,3.982712746
4682,O=C(CNCC1(O)CCCCCC1)N1CCc2ccccc2C1C1CCCCC1,4.3,4.261160851
6013,O=C(c1cccc(F)c1)N1CCc2oc(-c3ccc(F)cn3)nc2C1,4.13,4.890135288
13724,CC1(C)C2C(C(Cl)(Cl)Cl)=C(Cl)C(Cl)(Cl)C1(Cl)C2Cl,4.384802025,4.334055424
9237,CC(C)C(Br)C(=O)NC(N)=O,4,3.994453192
3221,COc1cc(N2CCN(C(=O)[C@H](C)N)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,5.03,5.074894428
3415,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCC2(CCNCC2)C1,4,4.589306355
7588,Cc1ccc(O)c(C(=O)c2ccccc2)c1,4.45576445,4.071815968
2313,COc1ccc(CCN(C)CCN2CCN(c3cccc(Cl)c3)C2=O)cc1OC,5.6,5.862922192
4001,Cc1ccc(CN2CC[C@@H](N3CCC(c4ccc(O)cc4)CC3)C2=O)cc1,6.4,5.468386173
1128,COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,6.6,6.247125149
3166,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)cc1Nc1ccc2c(n1)CCC2,5.1,5.126202106
11611,O=P1(NCCCl)OCCCN1CCCl,4,4.031664371
124,COc1ccc2c(c1)N(CCN1CCC(NCc3cc4c(cn3)OCCO4)CC1)C(=O)CS2,5.22,4.731534481
1663,NCCCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.1,5.531209946
1602,CC(C)(N)CNc1nn2c(-c3ccc(F)cc3F)cnc2s1,4.66,4.749651909
6028,O=C(Nc1ccc(Cl)cn1)[C@H](CN1CC(O)C1)Oc1ncnc2c1cnn2-c1ncccc1Cl,4.3,5.119306087
3912,CCCCNc1nc(N)nc2c1CN(C(=O)c1csc(C)n1)CC2,5.89,4.844752789
8515,*C.c1ccc2[nH]nnc2c1,4,3.984211683
9108,CC(C)(C)OC(=O)c1ccc(O)cc1,4,4.032552719
6161,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,5.04,5.37019062
10858,CCN(CC)CC(=O)Nc1c(C)cccc1C,4,4.115726948
11091,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,4,3.989256859
5311,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,4.85,5.147265911
2095,CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCOC[C@@H]5N)cn4)n3)cc12,4.82,5.0640378
5848,CC(C)(C)CCN1CCC(CNC(=O)c2ccc(Cl)c(Cl)c2)CC1,5.98,5.619180202
2696,COc1cccc2c1O[C@H](c1ccc(OCCCN3CCCC3)cc1)[C@@H](C)S2(=O)=O,5.21,5.463606358
9909,Cc1ccccc1CCO,4,4.003456116
436,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,4.19,4.994951248
5982,COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2ccccc21,5.12,5.403402805
4758,COc1ccc2c(c1)CC(Nc1cc(C)nc3nc(C(C)(F)F)nn13)CC2,5.75,5.691206932
13059,O=CCCCC=O,4,4.005461693
4097,O=C(CCN1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1)c1ccc2[nH]c(=O)oc2c1,5.945,5.444885731
9084,CC(C)(C)C1CCC(O)CC1,4,4.022648811
4527,N[C@H]1C[C@@H]1c1ccc(Br)c(F)c1F,4.82,4.690908909
6846,Cc1c([C@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)nc4)C[C@H]3CO2)ccc2nonc12,5,4.518216133
1848,CCn1cc([C@@]2(c3noc(C)n3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.14,5.275529385
6050,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2ccoc12,6.05,5.704981327
11549,Clc1cccc(Cl)c1Cl,4,4.021596909
8383,O=[N+]([O-])c1ccccc1,4,4.013104916
4425,CCOC(=O)C1=C(CN2CCOCC2)NC(c2nccs2)=N[C@@H]1c1ccc(F)cc1Br,5.31,5.724480152
5045,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2CCCCC2)c1,7.82,7.308148861
8002,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,4,4.2892313
8035,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,4,3.979288578
6646,COc1ccc2ncc(F)c(CC[C@@]3(O)CO[C@@H]4[C@@H](NCc5ccc6c(n5)NC(=O)CO6)CO[C@@H]43)c2n1,4.92,5.0185256
10860,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,4,4.106537342
4698,O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,4.78,5.122237682
7063,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,5.521339446,4.293708324
8904,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,4,3.979789972
5929,O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cn4)CC3)ccc21,4.34,5.104165077
3583,CN(C)c1ccc(CNC(=O)[C@H]2CNC[C@@H]2c2ccc(C(F)(F)F)cc2)cc1,5.03,4.97932291
11051,CCOC(=O)NCCC[Si](OCC)(OCC)OCC,4,4.055497646
7742,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,4.846339446,4.279231071
9189,C=CC(C)(O)CC/C=C(/C)CCC=C(C)C,4,4.020572662
2805,CN(C/C=C/c1ccc(C(F)(F)F)cc1)Cc1ccc2c(c1)OCCC2,5.54,5.577060223
8872,CC(=O)C1C(=O)C=C(C)OC1=O,4,4.052408218
8493,c1ccc(CNCc2ccccc2)cc1,4,4.120889664
8386,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,4,4.083395481
12769,Nc1nnc(N)[nH]1,4,3.986335516
6081,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(F)c(F)c4)nc31)[C@H](O)[C@@H]2O,4.57,4.807168007
11600,O=C(CCCl)NCCc1ccccc1,4,4.066347599
10278,CCCC(C)C=O,4,3.991054535
10141,CCC(C)C1N=C(C)C(C)S1,4,4.006072521
6251,CC(C)Cc1cc(CNS(=O)(=O)c2cccc(F)c2)nn1-c1ccccc1,4.84,5.144798756
10215,CCc1ccc(O)c(OC)c1,4,4.013820648
7946,CCC(=O)O.CCC(=O)O.[Ca+2],4,3.97894454
4612,Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(-n4cnnn4)cn2)C3)ccc2c1COC2=O,5.48,5.197884083
3294,CC(C)N1CCC(c2ccc(/C(=C(/CCCO)c3ccc(F)cc3)c3ccc(O)cc3)cc2)CC1,4.92,5.356215
3807,CNC(C(=O)N[C@](Cc1ccccc1)(c1ccc(F)cc1)c1cc(F)cc(C(F)(F)F)c1)C(O)(C(F)(F)F)C(F)(F)F,4.89,4.563629627
7781,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,4.660050319,4.08220768
